Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,Dept,Class,Fine,Classpath,Product Name,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_LABEL_4,ATTRIBUTE_LABEL_5,ATTRIBUTE_LABEL_6,ATTRIBUTE_LABEL_7,ATTRIBUTE_LABEL_8,ATTRIBUTE_LABEL_9,ATTRIBUTE_LABEL_10,ATTRIBUTE_VALUE_1,ATTRIBUTE_VALUE_2,ATTRIBUTE_VALUE_3,ATTRIBUTE_VALUE_4,ATTRIBUTE_VALUE_5,ATTRIBUTE_VALUE_6,ATTRIBUTE_VALUE_7,ATTRIBUTE_VALUE_8,ATTRIBUTE_VALUE_9,ATTRIBUTE_VALUE_10,ATTRIBUTE_UOM_1,ATTRIBUTE_UOM_2,ATTRIBUTE_UOM_3,ATTRIBUTE_UOM_4,ATTRIBUTE_UOM_5,ATTRIBUTE_UOM_6,ATTRIBUTE_UOM_7,ATTRIBUTE_UOM_8,ATTRIBUTE_UOM_9,ATTRIBUTE_UOM_10,_classification_confidence,_classification_method,_brand_resolution_method,_enriched,_enrichment_source,_source_tier,_exact_mpn_verified,_enrichment_error,_invoice_desc_ok,_mobile_desc_ok
3401-20,3401-20 Milw M12 Drill Driver - Brushless Compact (Bare),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,3401-20,Tools & Equipment,Power Tools,Power Drills,Tools & Equipment>Power Tools>Power Drills>Cordless Drills,Subcompact Brushless Drill/Driver,"Milwaukee Tool, Subcompact Brushless Drill/Driver, 3401-20, Power Tool",SUBCOMPACT BSHLS DRL/DRVR,Milwaukee® 3401-20 Subcompact Brushless Drill/Driver,Milwaukee® Subcompact Brushless Drill/Driver,Subcompact Brushless Drill/Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.milwaukeetool.com/Products/3401-20,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199334, Requested 3005. Please try again in 16m50.448s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,True
48-11-2422,48-11-2422 Milw M12 CP2.0 Battery Two Pack,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,48-11-2422,Tools & Equipment,Power Tools,Power Tool Accessories,Tools & Equipment>Power Tools>Power Tool Accessories>Cordless Tool Batteries,Battery,"Milwaukee Tool, Battery, 48-11-2422",BATT,Milwaukee® 48-11-2422 Battery,Milwaukee® Battery,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.milwaukeetool.com/Products/48-11-2422,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199316, Requested 2143. Please try again in 10m30.288s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
S3794,S3794 7W Incan Med 27K,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573),"Satco Products, Inc",Satco,S3794,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Satco Products, Inc, Product, S3794",PRODUCT,Satco® S3794 Product,Satco® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199314, Requested 2968. Please try again in 16m25.824s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",brand_hint,False,https://www.satco.com/products/S3794,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199308, Requested 3191. Please try again in 17m59.568s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
DCLE34031B,DCLE34031B Dewalt Line Laser - 20V Self-Leveling (Bare),-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585),Stanley Black & Decker,DEWALT,DCLE34031B,Test & Measurement,Measuring & Layout Tools,Levels,Test & Measurement>Measuring & Layout Tools>Levels>Rotary & Straight Line Laser Levels,Cross Line Laser Level,"Stanley Black & Decker DEWALT, Cross Line Laser Level, DCLE34031B",CROSS LINE LASER LEVEL,DEWALT® DCLE34031B Cross Line Laser Level,DEWALT® Cross Line Laser Level,Cross Line Laser Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,brand_hint,False,https://www.dewalt.com/product/dcle34031b/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199298, Requested 2231. Please try again in 11m0.528s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,True
DCN930B,DCN930B Dewalt 20V 30 Degree - Framing Nailer,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585),Stanley Black & Decker,DEWALT,DCN930B,Tools & Equipment,Power Tools,Power Fastening Tools,Tools & Equipment>Power Tools>Power Fastening Tools>Power Nailers>Cordless Nailers,Framing Nailer,"Stanley Black & Decker DEWALT, Framing Nailer, DCN930B",FRAMING NAILER,DEWALT® DCN930B Framing Nailer,DEWALT® Framing Nailer,Framing Nailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,brand_hint,False,https://www.dewalt.com/product/dcn930b/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199290, Requested 2457. Please try again in 12m34.704s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
DCK225D2,DCK225D2 Dewalt Impact/Drill - Kit,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585),Stanley Black & Decker,DEWALT,DCK225D2,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Stanley Black & Decker DEWALT, Product, DCK225D2",PRODUCT,DEWALT® DCK225D2 Product,DEWALT® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199288, Requested 2971. Please try again in 16m15.887999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",mpn_prefix,False,https://www.dewalt.com/product/dck225d2/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199282, Requested 3081. Please try again in 17m0.816s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
DCB606C,DCB606C Dewalt Flexvolt Starter Kit,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585),Stanley Black & Decker,DeWALT®,DCB606C,Tools & Equipment,Power Tools,Power Tool Accessories,Tools & Equipment>Power Tools>Power Tool Accessories>Cordless Tool Batteries,Battery,"Stanley Black & Decker DeWALT, Battery, DCB606C",BATT,DeWALT® DCB606C Battery,DeWALT® Battery,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,mpn_prefix,False,https://www.dewalt.com/product/dcb606c/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199275, Requested 2150. Please try again in 10m15.6s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
3049-20,"3049-20 Milw M12 3/8"" Impact Wrench w/Friction Ring",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,3049-20,Tools & Equipment,Power Tools,Power Fastening Tools,Tools & Equipment>Power Tools>Power Fastening Tools>Power Wrenches & Ratchets>Cordless Impact Wrenches,Cordless High Torque Impact Wrench,"Milwaukee Tool, Cordless High Torque Impact Wrench, 3049-20",CDLS HIGH TORQUE IMPCT WRENCH,Milwaukee® 3049-20 Cordless High Torque Impact Wrench,Milwaukee® Cordless High Torque Impact Wrench,Cordless High Torque Impact Wrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.milwaukeetool.com/Products/3049-20,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199257, Requested 3344. Please try again in 18m43.631999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
DCF513EB,"DCF513EB Dewalt 3/8"" Open Head Rachet",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585),Stanley Black & Decker,DeWALT®,DCF513EB,Tools & Equipment,Power Tools,Power Fastening Tools,Tools & Equipment>Power Tools>Power Fastening Tools>Power Wrenches & Ratchets>Cordless Ratchet Wrenches,Ratchet,"Stanley Black & Decker DeWALT, Ratchet, DCF513EB",RATCHET,DeWALT® DCF513EB Ratchet,DeWALT® Ratchet,Ratchet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,mpn_prefix,False,https://www.dewalt.com/product/dcf513eb/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199248, Requested 2294. Please try again in 11m6.144s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
DCB2108-2,DCB2108-2 Dewalt 20V 8Ah 2pk - Battery Max XR Powerpack,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Black & Decker/dewlt (2585),Stanley Black & Decker,DeWALT®,DCB2108-2,Tools & Equipment,Power Tools,Power Tool Accessories,Tools & Equipment>Power Tools>Power Tool Accessories>Cordless Tool Batteries,Battery,"Stanley Black & Decker DeWALT, Battery, DCB2108-2",BATT,DeWALT® DCB2108-2 Battery,DeWALT® Battery,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,mpn_prefix,False,https://www.dewalt.com/product/dcb2108-2/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199242, Requested 2952. Please try again in 15m47.808s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
S11848,"S11848 10"" Down Light Wh",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573),"Satco Products, Inc",SATCO®,S11848,Electrical,Lamps & Lightings,Indoor Lighting,Electrical>Lamps & Lightings>Indoor Lighting>Recessed Lighting>Recessed Lighting Fixtures,Direct Wire Downlight,"Satco Products, Inc, Direct Wire Downlight, S11848",DIRECT WIRE DOWNLIGHT,SATCO® S11848 Direct Wire Downlight,SATCO® Direct Wire Downlight,Direct Wire Downlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,direct_lookup,False,https://www.satco.com/products/S11848,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199234, Requested 2696. Please try again in 13m53.76s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
DW08802CG,DW08802CG Dewalt Laser Green - Self-Level Cross Line,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585),Stanley Black & Decker,DEWALT,DW08802CG,Test & Measurement,Measuring & Layout Tools,Levels,Test & Measurement>Measuring & Layout Tools>Levels>Rotary & Straight Line Laser Levels,Cross Line Laser Level,"Stanley Black & Decker DEWALT, Cross Line Laser Level, DW08802CG",CROSS LINE LASER LEVEL,DEWALT® DW08802CG Cross Line Laser Level,DEWALT® Cross Line Laser Level,Cross Line Laser Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,rule,brand_hint,False,https://www.dewalt.com/product/dw08802cg/,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199226, Requested 2082. Please try again in 9m25.056s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,True
S3703,S3703 40W Incan Med 27K,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573),"Satco Products, Inc",Satco,S3703,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Satco Products, Inc, Product, S3703",PRODUCT,Satco® S3703 Product,Satco® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199224, Requested 2968. Please try again in 15m46.944s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",brand_hint,False,https://www.satco.com/products/S3703,manufacturer,,"LLM 429 rate-limited: Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199218, Requested 2517. Please try again in 12m29.52s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing",True,False
