Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,Dept,Class,Fine,Classpath,Product Name,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_LABEL_4,ATTRIBUTE_LABEL_5,ATTRIBUTE_LABEL_6,ATTRIBUTE_LABEL_7,ATTRIBUTE_LABEL_8,ATTRIBUTE_LABEL_9,ATTRIBUTE_LABEL_10,ATTRIBUTE_VALUE_1,ATTRIBUTE_VALUE_2,ATTRIBUTE_VALUE_3,ATTRIBUTE_VALUE_4,ATTRIBUTE_VALUE_5,ATTRIBUTE_VALUE_6,ATTRIBUTE_VALUE_7,ATTRIBUTE_VALUE_8,ATTRIBUTE_VALUE_9,ATTRIBUTE_VALUE_10,ATTRIBUTE_UOM_1,ATTRIBUTE_UOM_2,ATTRIBUTE_UOM_3,ATTRIBUTE_UOM_4,ATTRIBUTE_UOM_5,ATTRIBUTE_UOM_6,ATTRIBUTE_UOM_7,ATTRIBUTE_UOM_8,ATTRIBUTE_UOM_9,ATTRIBUTE_UOM_10,_classification_confidence,_classification_method,_brand_resolution_method,_enriched,_enrichment_source,_invoice_desc_ok,_mobile_desc_ok
5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,5B-332-120,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Mirka Abrasives Inc, Product, 5B-332-120",PRODUCT,5B-332-120 Product,Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 400 - {'error': {'message': 'tool call validation failed: parameters for tool classify_product did not match schema: errors: [`/category_key`: value must be one of ""Impact Drivers"", ""Drills & Drivers"", ""Sanders & Grinders"", ""Saws"", ""Saw Blades"", ""Drill Bits & Accessories"", ""Abrasives"", ""Batteries & Chargers"", ""Tool Combo Kits"", ""Hand Tools"", ""Decking"", ""Railing"", ""PVC Trim"", ""Siding & Panels"", ""Dishwashers"", ""Refrigerators"", ""Ranges & Cooktops"", ""Washers & Dryers"", ""LED Bulbs"", ""Light Fixtures"", ""Outdoor Lighting"", ""Wiring & Devices"", ""General Hardware""]', 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '<function=classify_product>{""category_key"": ""Sanding Belt"", ""confidence"": ""high"", ""product_type"": ""Sanding Belt""}</function>'}}",unknown,False,,True,False
9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,9A-570-240,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Sanding Belt,"Mirka Abrasives Inc, Sanding Belt, 9A-570-240",SANDING BELT,9A-570-240 Sanding Belt,Sanding Belt,Sanding Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,,True,False
9A-570-320,9A-570-320 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,9A-570-320,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Abrasives,"Mirka Abrasives Inc, Abrasives, 9A-570-320",ABRASIVES,9A-570-320 Abrasives,Abrasives,Abrasives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,unknown,False,,True,False
DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc.",Diablo®,DBD090094101F,Tools,Power Tools & Accessories,Saw Blades,Tools>Power Tools & Accessories>Saw Blades,Metal Cut-Off Disc,"Freud America, Inc. Diablo, Metal Cut-Off Disc, DBD090094101F",METAL CUT-OFF DISC,Diablo® DBD090094101F Metal Cut-Off Disc,Diablo® Metal Cut-Off Disc,Metal Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,direct_lookup,False,,True,True
DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc.",Diablo®,DBDS12125A01F,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Cut-Off Disc,"Freud America, Inc. Diablo, Cut-Off Disc, DBDS12125A01F",CUT-OFF DISC,Diablo® DBDS12125A01F Cut-Off Disc,Diablo® Cut-Off Disc,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,direct_lookup,False,https://www.diablotools.com/products/dbds12125a01f,True,False
DBDS12125G01F,"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc.",Diablo®,DBDS12125G01F,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Cut-Off Disc,"Freud America, Inc. Diablo, Cut-Off Disc, DBDS12125G01F",CUT-OFF DISC,Diablo® DBDS12125G01F Cut-Off Disc,Diablo® Cut-Off Disc,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,direct_lookup,False,https://www.diablotools.com/products/dbds12125g01f,True,False
DBDS14125A01F,"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc.",Diablo®,DBDS14125A01F,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Metal Cut-Off Disc,"Freud America, Inc. Diablo, Metal Cut-Off Disc, DBDS14125A01F",METAL CUT-OFF DISC,Diablo® DBDS14125A01F Metal Cut-Off Disc,Diablo® Metal Cut-Off Disc,Metal Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,direct_lookup,False,https://www.diablotools.com/products/dbds14125a01f,True,True
DBDS14125G01F,"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc.",Diablo®,DBDS14125G01F,Tools,Power Tools & Accessories,Saw Blades,Tools>Power Tools & Accessories>Saw Blades,Cut-Off Disc,"Freud America, Inc. Diablo, Cut-Off Disc, DBDS14125G01F",CUT-OFF DISC,Diablo® DBDS14125G01F Cut-Off Disc,Diablo® Cut-Off Disc,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,direct_lookup,False,https://www.diablotools.com/products/dbds14125g01f,True,False
49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0013,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Cut Off Disc,"Milwaukee Tool, Cut Off Disc, 49-94-0013, Power Tools, SAWZALL Reciprocating",CUT OFF DISC,"Milwaukee® 49-94-0013 Cut Off Disc, Power Tools, SAWZALL Reciprocating Saws","Milwaukee® Cut Off Disc, Product Category Power Tools, Product Subcategory SAWZALL Reciprocating Saws","Cut Off Disc, Power Tools, SAWZALL Reciprocating Saws",Product Category,Product Subcategory,,,,,,,,,Power Tools,SAWZALL Reciprocating Saws,,,,,,,,,,,,,,,,,,,high,llm,direct_lookup,True,https://www.milwaukeetool.com/Products/49-94-0013,True,True
49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0029,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Cut Off Disc,"Milwaukee Tool, Cut Off Disc, 49-94-0029, Power Tools, SAWZALL Reciprocating",CUT OFF DISC,"Milwaukee® 49-94-0029 Cut Off Disc, Power Tools, SAWZALL Reciprocating Saws","Milwaukee® Cut Off Disc, Product Category Power Tools, Product Subcategory SAWZALL Reciprocating Saws","Cut Off Disc, Power Tools, SAWZALL Reciprocating Saws",Product Category,Product Subcategory,,,,,,,,,Power Tools,SAWZALL Reciprocating Saws,,,,,,,,,,,,,,,,,,,high,llm,direct_lookup,True,https://www.milwaukeetool.com/Products/49-94-0029,True,True
49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0033,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Cut Off Disc,"Milwaukee Tool, Cut Off Disc, 49-94-0033, Milwaukee Tool",CUT OFF DISC,"Milwaukee® 49-94-0033 Cut Off Disc, Milwaukee Tool","Milwaukee® Cut Off Disc, Manufacturer Milwaukee Tool","Cut Off Disc, Milwaukee Tool",Manufacturer,,,,,,,,,,Milwaukee Tool,,,,,,,,,,,,,,,,,,,,high,llm,direct_lookup,True,https://www.milwaukeetool.com/Products/49-94-0033,True,False
49-94-0001,"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0001,Tools,Power Tools & Accessories,Abrasives,Tools>Power Tools & Accessories>Abrasives,Cut Off Disc,"Milwaukee Tool, Cut Off Disc, 49-94-0001",CUT OFF DISC,Milwaukee® 49-94-0001 Cut Off Disc,Milwaukee® Cut Off Disc,Cut Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,llm,direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0001,True,False
49-94-0039,"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0039,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0039",PRODUCT,Milwaukee® 49-94-0039 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99467, Requested 1078. Please try again in 7m50.88s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0039,True,False
49-94-0043,"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0043,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0043",PRODUCT,Milwaukee® 49-94-0043 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99455, Requested 1076. Please try again in 7m38.784s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0043,True,False
49-94-0048,"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0048,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0048",PRODUCT,Milwaukee® 49-94-0048 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99443, Requested 1076. Please try again in 7m28.416s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0048,True,False
49-94-0053,"49-94-0053 Milw 12""x1/8""x1"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0053,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0053",PRODUCT,Milwaukee® 49-94-0053 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99431, Requested 1074. Please try again in 7m16.32s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0053,True,False
49-94-0058,"49-94-0058 Milw 12""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0058,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0058",PRODUCT,Milwaukee® 49-94-0058 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99419, Requested 1074. Please try again in 7m5.952s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0058,True,False
49-94-0063,"49-94-0063 Milw 14""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0063,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0063",PRODUCT,Milwaukee® 49-94-0063 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99408, Requested 1076. Please try again in 6m58.176s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0063,True,False
49-94-0068,"49-94-0068 Milw 14""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0068,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0068",PRODUCT,Milwaukee® 49-94-0068 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99395, Requested 1074. Please try again in 6m45.215999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0068,True,False
49-94-0073,"49-94-0073 Milw 14""x1/8""x1"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0073,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0073",PRODUCT,Milwaukee® 49-94-0073 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99383, Requested 1074. Please try again in 6m34.848s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0073,True,False
49-94-0101,"49-94-0101 Milw 4-1/2""x.045""x7/8"" Perform+ Metal Cut Off Disc 10pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0101,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0101",PRODUCT,Milwaukee® 49-94-0101 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99372, Requested 1084. Please try again in 6m33.984s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0101,True,False
49-94-0107,"49-94-0107 Milw 4-1/2""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,49-94-0107,Hardware,General Hardware,Miscellaneous,Hardware>General Hardware>Miscellaneous,Product,"Milwaukee Tool, Product, 49-94-0107",PRODUCT,Milwaukee® 49-94-0107 Product,Milwaukee® Product,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,"error:Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jawhrreve24tbs5safa68zvc` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99361, Requested 1081. Please try again in 6m21.888s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",direct_lookup,False,https://www.milwaukeetool.com/Products/49-94-0107,True,False
